Timestamp;C1;C2;C3
1;0,2179540712;0,3611385885;0,0421592621
2;0,5089884219;0,5764209761;0,2795116897
3;0,9491906995;0,7290045039;0,0060869586
4;0,8906448418;0,4482022028;0,5320112936
5;0,6441038472;0,4116108005;0,4363515901
6;0,3357972631;0,0933437492;0,0926011107
7;0,6587519578;0,1864632727;0,116814622
8;0,1162819783;0,1329949831;0,1304378151
9;0,1241378577;0,439986927;0,1358593323
10;0,7760314054;0,0950601387;0,2318511526
11;0,0045687601;0,8809354245;0,7992316096
12;0,8264007501;0,154192768;0,3432077975
13;0,0156279963;0,7272026087;0,5701130258
14;0,760290832;0,0577604019;0,1808022743
15;0,4112138108;0,4151656779;0,1280193187
16;0,3674672609;0,7473256423;0,0938703276
17;0,1482930898;0,0980705025;0,7384471649
18;0,1292649175;0,4490199939;0,5456560256
19;0,0407390792;0,0701373257;0,2695807207
20;0,3597197442;0,4971888815;0,777274231
21;0,6578682235;0,1039509659;0,9708616233
22;0,601106707;0,2254934581;0,2010741911
23;0,1981902507;0,540750247;0,4778402897
24;0,5349265037;0,051917772;0,6084840975
25;0,2699705875;0,4299389108;0,6902550969
26;0,9349615972;0,6902821024;0,7353958911
27;0,9857621095;0,9981023576;0,7647247929
28;0,2488553016;0,4538088201;0,2218911985
29;0,5117134312;0,9165754914;0,9520838286
30;0,7490397657;0,077261508;0,1863740636
31;0,502662871;0,3581351023;0,7159077472
32;0,9386163536;0,916252509;0,350913543
33;0,9219576735;0,4210679885;0,8820133039
34;0,6945471156;0,5037718201;0,3363298618
35;0,9352908807;0,7282643483;0,0612781297
36;0,4653760141;0,3744730803;0,7753113462
37;0,5308053461;0,9497428951;0,848900049
38;0,1969898196;0,4187278671;0,2693141485
39;0,0863389694;0,7788060075;0,5908626544
40;0,1407935722;0,7813625063;0,8820387451
41;0,3714325372;0,7942758107;0,9388595966
42;0,9129108095;0,6531573667;0,7071814137
43;0,9467350254;0,0302226837;0,8947645782
44;0,8476949171;0,2896144441;0,3640871421
45;0,3177711756;0,5186111734;0,4123959609
46;0,8192845909;0,2055622274;0,2372919219
47;0,3856272213;0,6085629028;0,9964580799
48;0,8409997963;0,8095421935;0,4642402176
49;0,2840132986;0,2606596015;0,3331193847
50;0,4150948483;0,8732578978;0,5590116193
51;0,5859483201;0,2239220056;0,8895438458
52;0,426733616;0,240800783;0,9378781363
53;0,5519818587;0,6825217351;0,3804144086
54;0,5682896776;0,0610437547;0,9042796087
55;0,8749734003;0,110680965;0,3283357695
56;0,5154359455;0,4197251801;0,478340995
57;0,0686018835;0,9930555017;0,4888737716
58;0,999594623;0,190037108;0,4760408164
59;0,4337147868;0,1666399462;0,0466171049
60;0,0509473027;0,1415663061;0,4337541903
61;0,099363351;0,5193217392;0,4946115257
62;0,6635836945;0,6271687266;0,6239069367
63;0,1434158054;0,3882354489;0,6625208324
64;0,0255461426;0,9360032179;0,8542303198
65;0,9225075517;0,866529288;0,5030242756
66;0,1463625459;0,2557368183;0,8260665974
67;0,6517158239;0,3331197475;0,8984844254
68;0,8506386471;0,4659882504;0,6180737258
69;0,1321049056;0,154689206;0,2659341053
70;0,7916872003;0,0564242152;0,7923175264
71;0,5132060018;0,8977942776;0,8288356334
72;0,8640889511;0,7610965359;0,8965311514
73;0,2550863312;0,0772736459;0,5837716355
74;0,4790493089;0,8183266325;0,0019877541
75;0,1017325136;0,4626103826;0,8063300531
76;0,0382801183;0,0470357838;0,0690107683
77;0,2322566889;0,5478031277;0,3195653248
78;0,671880977;0,5274354434;0,3285363701
79;0,6990400217;0,8764994324;0,1468652638
80;0,40661542;0,5820508748;0,8174574086
81;0,8216259272;0,8328850707;0,6234637485
82;0,6561814786;0,9410107036;0,3094686077
83;0,0252424607;0,8393829223;0,1151670634
84;0,4477583205;0,0701624407;0,8133149401
85;0,8565010328;0,7150680905;0,9085583424
86;0,3170388245;0,604956401;0,3454855187
87;0,4917071513;0,7941789704;0,9219449786
88;0,8976913341;0,696562374;0,5159562917
89;0,5323810389;0,4408019532;0,8186692114
90;0,3774006499;0,8970072682;0,1966817374
91;0,9432593714;0,7316355605;0,587263511
92;0,8897986396;0,5999581625;0,9350786968
93;0,5417091798;0,942435004;0,3059765613
94;0,1133842682;0,7092484643;0,469532501
95;0,7704117862;0,4292535116;0,9567946761
96;0,8714508454;0,0033799871;0,510287991
97;0,3966648506;0,7983312523;0,2645949572
98;0,9000671646;0,7888295467;0,482803823
99;0,2862454671;0,9819095165;0,0879544583
100;0,5994248616;0,2853153823;0,6054445091
101;0,188042443;0,9982389216;0,1098538919
102;0,848353094;0,1739380399;0,487418839
103;0,2156950049;0,3308807337;0,831685337
104;0,4818332784;0,5134366471;0,3059949221
105;0,4381837561;0,5380695267;0,10354113
106;0,083116913;0,3491987691;0,3531790739
107;0,9941469512;0,3456298378;0,3333820486
108;0,4469164915;0,1800025094;0,3441191879
109;0,6636087368;0,5817958685;0,0204066993
110;0,3087638656;0,6738369982;0,3577519949
111;0,1891098931;0,2721391653;0,6511288038
112;0,2962752075;0,2757005603;0,043607662
113;0,9004713697;0,7668505029;0,7316671575
114;0,7410511053;0,8885170822;0,4353850898
115;0,5921482116;0,7000259059;0,8541077983
116;0,993585286;0,5135055503;0,5823260113
117;0,0524446173;0,1739795494;0,2320152393
118;0,5778377606;0,0467318902;0,3044098273
119;0,9103049543;0,723173053;0,3698054156
120;0,2164250789;0,0468440391;0,347590717
121;0,302445505;0,136436733;0,5115641621
122;0,7882012511;0,910003874;0,6805350231
123;0,9802120195;0,7309470591;0,1111965172
124;0,8606839003;0,1139086271;0,6735770777
125;0,0168601377;0,1644613401;0,2422161761
126;0,2070688626;0,8731018614;0,4241151647
127;0,6084110185;0,4478855564;0,4905999112
128;0,7475448779;0,4518425937;0,2038583087
129;0,7771800912;0,7029916169;0,5568091141
130;0,6075140596;0,191826056;0,7972274397
131;0,993835205;0,1844353941;0,1860529114
132;0,0686329296;0,7680575312;0,2014358286
133;0,2241405677;0,4096097972;0,8747996902
134;0,2886833935;0,3142204077;0,0105237472
135;0,8833154035;0,4558483351;0,0120432789
136;0,0814226842;0,2861271552;0,4679805699
137;0,8347084979;0,8507486831;0,2023543559
138;0,3527086396;0,6783395414;0,9316460616
139;0,3877624245;0,0785044993;0,7992181827
140;0,9979898429;0,5323445476;0,4003438882
141;0,0238954013;0,9239923675;0,8329057307
142;0,3201975187;0,6031590088;0,1534598104
143;0,6470518815;0,07463858;0,0369168296
144;0,737744739;0,1927272226;0,6149922814
145;0,0894729868;0,9928593624;0,5909269024
146;0,0949032903;0,0538881829;0,6076215969
147;0,8986732555;0,6526199519;0,9816593123
148;0,2834225157;0,7114127125;0,0402396787
149;0,2058714;0,5044587885;0,0728561017
150;0,126973263;0,7735842094;0,7433021902
151;0,6123618309;0,546160935;0,2188420547
152;0,7965990324;0,6368636182;0,8080077188
153;0,3581748921;0,7540210257;0,6610211493
154;0,2594672039;0,3513662121;0,7174179303
155;0,7839067876;0,2626020354;0,8598390925
156;0,9580591284;0,016033703;0,3699660168
157;0,413071078;0,8143498134;0,662648224
158;0,8802774714;0,2394825264;0,7256326459
159;0,7875529637;0,0929838039;0,510415958
160;0,0723595833;0,9885695868;0,7700241457
161;0,0698316544;0,5057414123;0,2373939394
162;0,3009814078;0,1274540732;0,0912632949
163;0,5315408644;0,8246559966;0,1752096566
164;0,4790014115;0,9318312861;0,0305867302
165;0,5124696509;0,1067007943;0,2253500023
166;0,5581230461;0,9075589646;0,9347135241
167;0,5662754637;0,036192338;0,6945647327
168;0,3916830085;0,0278894119;0,7866997537
169;0,9459876001;0,4513853402;0,2861500466
170;0,0684577033;0,9210404095;0,7713838355
171;0,3721625099;0,485971676;0,7482825904
172;0,3397942225;0,2025888511;0,8780805389
173;0,3980232661;0,3617875183;0,1130579582
174;0,9394705715;0,4518591771;0,4490582326
175;0,5578725745;0,3307012958;0,2394959726
176;0,9704920331;0,0488342925;0,4772359233
177;0,5226046082;0,9718929103;0,0381510546
178;0,2388615145;0,5877330913;0,7184099751
179;0,1187572568;0,5373053162;0,8564585589
180;0,5372538031;0,0506859175;0,5507017476
181;0,8746879953;0,2828529824;0,8268054354
182;0,263226914;0,5578637938;0,9642479385
183;0,7751365956;0,8404906464;0,2379052441
184;0,4719419887;0,723358409;0,1236443738
185;0,9247441902;0,4553453021;0,0746883734
186;0,2759533396;0,5119320292;0,373357581
187;0,4327603003;0,7744029858;0,3153782843
188;0,601654555;0,2413114947;0,4815487508
189;0,7028803355;0,9576552333;0,3469316368
190;0,6202869224;0,5257710521;0,1690090199
191;0,5157975804;0,254963892;0,7618146359
192;0,259473138;0,8711300192;0,4783379077
193;0,8842442119;0,9990373999;0,9643911873
194;0,0770263448;0,2712405035;0,3383012104
195;0,0798000705;0,4531051817;0,3558062897
196;0,0134433242;0,0622417962;0,0454865301
197;0,5850089903;0,4211477905;0,965819173
198;0,3479788224;0,6051519965;0,282194807
199;0,7751483549;0,582600995;0,7963725396
200;0,3203013511;0,3403229367;0,3798809485
201;0,8187649176;0,4630070967;0,6218320203
202;0,7695287585;0,3479772247;0,9636510257
203;0,6807878013;0,5352866331;0,6331208069
204;0,7036021622;0,0201528729;0,5639670982
205;0,5369590714;0,3431372927;0,2267475696
206;0,9999468415;0,2142822803;0,7608022001
207;0,8979467773;0,9852604773;0,9325487684
208;0,5087575968;0,0241004284;0,2629211382
209;0,0522350133;0,1400172284;0,1319871738
210;0,1372604249;0,8878042789;0,1673397499
211;0,2303920602;0,2106973599;0,8818948432
212;0,8914547539;0,1430225186;0,5060071996
